label,n_samples,peak_mag_g,ax_mean,ax_std,ax_min,ax_max,ay_mean,ay_std,ay_min,ay_max,az_mean,az_std,az_min,az_max,gx_mean,gx_std,gx_min,gx_max,gy_mean,gy_std,gy_min,gy_max,gz_mean,gz_std,gz_min,gz_max
still,103,0.010634904404157153,-0.02386019417475728,0.25025559917882084,-0.2534,0.5217,-0.6463097087378641,0.1569582273997093,-0.9146,-0.4453,0.5459368932038835,0.28861527554803507,-0.144,0.8147,118.43233980582525,75.70963645088588,29.469,240.594,31.39588349514563,37.53301230006091,-6.562,120.438,61.83766019417476,57.95926795445721,-35.719,166.125
still,101,8.745701965995062,-0.43158217821782174,1.2282373172979137,-5.113,0.9104,0.8713425742574258,1.7942267709002548,-0.6104,6.1619,-0.7981465346534653,2.6716430915499556,-8.0,2.8506,-188.57701980198019,370.0536939346944,-1024.0,61.562,-27.587237623762373,145.88994602497888,-603.406,195.562,0.8740792079207919,114.37020940888125,-292.219,365.094
still,104,0.6233115843854502,-0.1492125,0.08387693673964806,-0.3108,-0.0071,-0.3654807692307692,0.13340819017999078,-0.6003,-0.1121,-0.9866576923076923,0.49730065520929856,-1.5186,0.4014,243.41102884615384,162.6511914340397,42.719,480.344,44.67668269230769,24.982824042138823,-14.781,88.5,8.637298076923077,13.248389231467266,-17.094,53.25
still,100,0.1036868441727481,-0.079411,0.02833151917917569,-0.1274,-0.0256,-0.5228860000000001,0.1437406637107259,-0.687,-0.2612,0.765746,0.1380550349824301,0.4336,1.0393,81.20752,108.1800409044552,-1.219,399.312,4.73749,8.991493159086538,-16.438,24.406,-3.05002,14.825286769556937,-33.281,36.312
still,104,8.868929251443644,-0.2137403846153846,0.9286181669058302,-3.2869,2.0659,1.0355326923076922,2.3944189110160345,-0.6118,7.9998,0.11828942307692307,2.437034140212485,-8.0,2.3352,-247.92218269230767,423.0545015141658,-1024.0,37.281,30.469923076923074,138.33001444411644,-311.531,553.031,31.925173076923077,114.36121493930152,-310.5,280.312
still,101,5.120808777441099,0.008095049504950495,0.2532623170995269,-0.3149,1.4995,-0.06035346534653465,0.26921732417603855,-0.4583,0.8794,-1.4531108910891088,0.8613760027991353,-5.9272,-0.2734,106.47709900990098,96.2968938761174,-294.688,312.312,18.841267326732673,56.130753052453045,-73.625,298.562,17.37779207920792,47.48922790795195,-19.156,203.719
still,104,0.22687494880285164,-0.1869605769230769,0.14120059818070968,-0.3831,0.0376,-0.5246596153846154,0.11615656917019603,-0.7336,-0.3508,0.23274326923076924,0.6756720651100513,-1.1379,0.9141,230.71451923076924,158.97764478547947,35.531,468.375,-0.20071153846153852,24.692485983233333,-41.344,67.688,28.05883653846154,32.23958722718158,-23.719,87.281
still,101,1.4847016440611136,-0.07396930693069308,0.11501460840712543,-0.2466,0.2041,-0.402629702970297,0.44022274864511973,-0.6658,1.6675,0.8367009900990099,0.21913934194283444,0.6021,1.842,25.902554455445543,24.964941579519405,-125.562,52.0,8.31309900990099,19.125765965638482,-13.219,82.312,-3.26519801980198,23.73144803717182,-28.469,69.531
still,102,7.61233986788724,-0.1916843137254902,0.5126971216785503,-2.0254,0.9819,0.8621617647058823,1.9214906137257348,-0.7874,6.4639,-1.425749019607843,2.3238264516949365,-8.0,3.3567,-216.92214705882353,424.6839923679446,-1024.0,176.062,22.378990196078433,91.52431583277072,-175.625,312.875,-14.468088235294116,40.988713657973605,-171.594,106.688
still,100,0.6470060898490932,-0.10300700000000002,0.07758942357692832,-0.2393,0.0432,-0.34787999999999997,0.142031431732557,-0.6042,-0.1565,-0.053173000000000005,0.971802404695008,-1.592,1.1514,297.33745999999996,136.2177174343646,12.781,444.0,-3.49688,27.047785440689964,-46.344,61.094,-34.28125,17.857413396332067,-73.812,4.75
still,103,1.0295679417058206,0.09887378640776698,0.13130164039020328,-0.0095,0.4783,-0.3759407766990291,0.37522089608860093,-0.6431,1.2417,0.8782951456310679,0.15138153776611962,0.6956,1.5325,16.122912621359223,14.732863237236755,-49.688,31.594,-0.1910873786407767,10.993577393414135,-21.438,27.75,8.480009708737864,17.554059084431486,-17.875,83.406
